Dex,Nombre,Pagina,Slot,Idioma/Nota
571,Zoroark ,36.0,11.0,Japonés
591,Amoonguss,37.0,15.0,Japonés
595,Joltik ,38.0,3.0,Japonés
596,Galvantula,38.0,4.0,Japonés
597,Ferroseed ,38.0,5.0,Chino Simplificado
600,Klang ,38.0,8.0,Japonés
602,Tynamo ,38.0,10.0,Chino Simplificado
603,Eelektrik ,38.0,11.0,Chino Simplificado
604,Eelektross ,38.0,12.0,Chino Simplificado
605,Elgyem ,38.0,13.0,Japonés
606,Beheeyem ,38.0,14.0,Japonés
610,Axew ,39.0,2.0,Japonés
611,Fraxure ,39.0,3.0,Japonés
612,Haxorus ,39.0,4.0,Japonés
613,Cubchoo ,39.0,5.0,Japonés
618,Stunfisk ,39.0,10.0,Japonés
619,Mienfoo ,39.0,11.0,Japonés
620,Mienshao ,39.0,12.0,Japonés
624,Pawniard ,39.0,16.0,Japonés
625,Bisharp ,40.0,1.0,Japonés
626,Bouffalant ,40.0,2.0,Japonés
629,Vullaby,40.0,5.0,Japonés
637,Volcarona ,40.0,13.0,Japonés
641,Tornadus-incarnate,41.0,1.0,Japonés
646,Kyurem ,41.0,6.0,Japonés
649,Genesect ,41.0,9.0,Japonés
651,Quilladin ,41.0,11.0,Japonés
660,Diggersby ,42.0,4.0,Inglés
661,Fletchling ,42.0,5.0,Japonés
662,Fletchinder ,42.0,6.0,Japonés
665,Spewpa ,42.0,9.0,Japonés
666,Vivillon,42.0,10.0,Japonés
667,Litleo ,42.0,11.0,Japonés
669,Flabebe,42.0,13.0,Japonés
674,Pancham ,43.0,2.0,Japonés
675,Pangoro ,43.0,3.0,Japonés
676,Furfrou ,43.0,4.0,Inglés
677,Espurr ,43.0,5.0,Japonés
679,Honedge,43.0,7.0,Chino Simplificado
680,Doublade ,43.0,8.0,Inglés
681,Aegislash-shield,43.0,9.0,Japonés
683,Aromatisse ,43.0,11.0,Inglés
686,Inkay ,43.0,14.0,Japonés
687,Malamar ,43.0,15.0,Japonés
688,Binacle ,43.0,16.0,Japonés
689,Barbaracle ,44.0,1.0,Inglés
695,Heliolisk ,44.0,7.0,Japonés
700,Sylveon ,44.0,12.0,Japonés
701,Hawlucha ,44.0,13.0,Japonés
703,Carbink ,44.0,15.0,Inglés
707,Klefki ,45.0,3.0,Inglés
709,Trevenant,45.0,5.0,Chino Simplificado
712,Bergmite ,45.0,8.0,Japonés
715,Noivern ,45.0,11.0,Japonés
717,Yveltal ,45.0,13.0,Japonés
719,Diancie ,45.0,15.0,Japonés
722,Rowlet,46.0,2.0,Japonés
723,Dartrix ,46.0,3.0,Japonés
724,Decidueye ,46.0,4.0,Japonés
734,Yungoos ,46.0,14.0,Japonés
736,Grubbin ,46.0,16.0,Japonés
737,Charjabug ,47.0,1.0,Japonés
739,Crabrawler ,47.0,3.0,Japonés
740,Crabominable ,47.0,4.0,Japonés
758,Salazzle ,48.0,6.0,Japonés
759,Stufful ,48.0,7.0,Japonés
760,Bewear ,48.0,8.0,Japonés
764,Comfey ,48.0,12.0,Japonés
765,Oranguru ,48.0,13.0,Japonés
767,Wimpod ,48.0,15.0,Chino Simplificado
776,Turtonator ,49.0,8.0,Japonés
781,Dhelmise ,49.0,13.0,Japonés
809,Melmetal ,51.0,9.0,Japonés
813,Scorbunny ,51.0,13.0,Japonés
814,Raboot ,51.0,14.0,Japonés
817,Drizzile ,52.0,1.0,Japonés
818,Inteleon ,52.0,2.0,Japonés
827,Nickit ,52.0,11.0,Chino Simplificado
829,Gossifleur ,52.0,13.0,Japonés
830,Eldegoss,52.0,14.0,Japonés
831,Wooloo ,52.0,15.0,Japonés
833,Chewtle ,53.0,1.0,Japonés
845,Cramorant ,53.0,13.0,Japonés
859,Impidimp ,54.0,11.0,Japonés
860,Morgrem ,54.0,12.0,Japonés
870,Falinks ,55.0,6.0,Japonés
872,Snom ,55.0,8.0,Japonés
874,Stonjourner ,55.0,10.0,Japonés
878,Cufant ,55.0,14.0,Japonés
901,Ursaluna ,57.0,5.0,Japonés
912,Quaxly ,57.0,16.0,Japonés
915,Lechonk ,58.0,3.0,Chino Simplificado
926,Fidough ,58.0,14.0,Japonés
935,Charcadet ,59.0,7.0,Japonés
938,Tadbulb ,59.0,10.0,Japonés
940,Wattrel ,59.0,12.0,Japonés
944,Shroodle ,59.0,16.0,Japonés
945,Grafaiai ,60.0,1.0,Japonés
948,Toedscool,60.0,4.0,Chino Simplificado
949,Toedscruel ,60.0,5.0,Chino Simplificado
965,Varoom ,61.0,5.0,Japonés
966,Revavroom ,61.0,6.0,Japonés
969,Glimmet,61.0,9.0,Chino Simplificado
970,Glimmora ,61.0,10.0,Chino Simplificado
972,Houndstone ,61.0,12.0,Chino Simplificado
973,Flamigo ,61.0,13.0,Chino Simplificado
976,Veluza ,61.0,16.0,Japonés
977,Dondozo ,62.0,1.0,Chino Simplificado
983,Kingambit ,62.0,7.0,Chino Simplificado
988,Slither-wing,62.0,12.0,Japonés
994,Iron-moth,63.0,2.0,Japonés
999,Gimmighoul ,63.0,7.0,Japonés
1001,Wo-chien,63.0,9.0,Japonés
1004,Chi-yu,63.0,12.0,Chino Simplificado
1007,Koraidon ,63.0,15.0,Japonés
1011,Dipplin ,64.0,3.0,Japonés
1014,Okidogi,64.0,6.0,Japonés
1016,Fezandipiti ,64.0,8.0,Japonés
10136,Minior-red,,,Chino Simplificado
